year,date,start_timestamp,end_timestamp,strip_group,location,gallons,notes
2023,2023-05-23,2023-05-23 15:25:00,2023-05-23 19:19:00,S1_S2,west,145000,STRIP 1 NEVER REALLY RAN OFF END OF FIELD AND YOU COULD WALK ON HILLS. STRIP 2 RAN OFF END OF FIELD IN ABOUT 1.5 HOURS INTO WATERING AND FURROWS AND HILLS WERE COMPLETELY FLOODED. SOME WATER FROM STRIP 1 RAN OFF ONTO SRI'S FIELD.
2023,2023-05-24,2023-05-24 09:25:00,2023-05-24 13:19:00,S3_S4,east,146600,STRIP 4 WAS LOSING WATER TO NE CORNER OF FIELD AND DIDN’T WATER ABOUT 2-3 FURROWS WEST FROM EAST SIDE. STRIPS 3 & 4 WERE RUNNING ONTO STRIP 2 AS WELL. WATER MOVEMENT WAS S-SW.
2023,2023-06-01,2023-06-01 12:16:00,2023-06-01 18:45:00,S1_S2,west,67300,"STARTED WATER AT 11:16AM NOTICED WATER STOPPED AT 2:07PM FOR UNKNOWN AMOUNT OF TIME. THE CANAL VALVE WAS OFF SO WATER WAS NOT FLOWING IN SYSTEM. TURNED ON AGAIN AT 3:07 PM AND FINALLY OFF AT 6:45 PM. ONLY A TINY BIT OF WATER AT THE VERY END RAN ONTO SRI'S FIELD, SHOULD NOT BE AN ISSUE. ALL BERMS WORKED GOOD. AT 2:10PM, WATER IS BARLEY PAST S1B WHEREAS S2B IS FLOODED WELL PAST IN ALL FURROWS."
2023,2023-06-02,2023-06-02 15:43:00,2023-06-02 22:12:00,S3_S4,east,67500,"WATER WAS CLEAN COMING OUT OF PIPE. FIELD IS GOOD AND SATURATED. THERE WAS NO SIDE MOVEMENT OF WATER, WATER RAN DOWN RESPECTIVE FURROWS SO 1&2 WERE NOT INFLUENCED FROM THIS WATERING UNLIKE THE FIRST WATERING."
2023,2023-06-14,2023-06-14 08:25:00,2023-06-14 17:29:00,S3_S4,east,128200,"4B FURROWS ARE WET, HILLS ARE PARTIALLY DRY/WET. BOTTOM OF 3&4 ARE WET. WATER REACHED EXTREME SOUTHEAST PORTION OF CATCH DITCH. AT 2:13PM JERRY AND BILL ADJUSTED GATES SO THAT EAST END OF GATES ARE FLOWING. THEY WERE FLOWING AT THE START OF WATERING BUT FLOW REDUCED OVER TIME AND THEY STOPPED AT SOME POINT."
2023,2023-06-26,2023-06-26 09:31:00,2023-06-26 16:02:00,S1_S2,west,89400,"S1B AND S2B FURROWS ARE SOAKED. FIELD APPEARED TO BE EVENLY WATERED. PIPE IS LEVEL, GATES ADJUSTED TO THUMBWIDTH OPENING AS USUAL. JIMMY NEEDED WATER OFF BY 4:30PM (HE CALLED) SO THEY COULD SET WATER ONTO ANOTHER FIELD FOR WATERING OVERNIGHT. COULD NOT WATER ON SUNDAY AS JIMMY AND PERRY SAID THERE WAS SOME WATER ISSUES (LEAKS) ON FRIDAY SO THEY ARE BEHIND WATERING SCHEDULE. VISUALLY STRIP 2 LOOKS DRY AND IS NOT AS GREEN OR THICK AS STRIP 1."
2023,2023-06-27,2023-06-27 07:53:00,2023-06-27 16:14:00,S3_S4,east,135700,VISUALLY STRIP 3 APPEARS MORE GREEN AND THICK THAN STRIP 4. WATER REACHED END OF FIELD. THE AREA AROUND S4B SENSORS IS MOIST BUT AREA WHERE WIRES DIVE INTO GROUND IS DRY. WATER WAS EVENLY DISTRIBUTED IN PIPE AND FURROWS.
2023,2023-07-07,2023-07-07 07:46:00,2023-07-07 15:46:00,S3_S4,east,128500,"LINEAR SPRINKLER AND SRI WERE WATERING FIELD. AFTER SRI STARTED HIS WATER IT MOST CERTAINLY DECREASED OUR FLOW RATE ON N1. WATER WAS UNIFORM AND EVEN, REACHED BOTTOM OF S3 AND S4. AIR VENT LEAKING NEAR SE CORNER OF FIELD."
2023,2023-07-17,2023-07-17 08:04:00,2023-07-17 16:04:00,S1_S2,west,120900,"VISUALLY ALL APPEAR MOSTLY DRY, ALTHOUGH 3 LOOKS THE BEST FOLLOWED BY 4, THEN 1 AND THEN 2. S2M HAS LOTS OF HORSETAIL WEEDS SURROUNDING IT. BILL AND I DISCUSSED SPRAYING FIELD WITH HERBICIDE SOON."
2023,2023-07-17,2023-07-17 19:19:00,2023-07-18 05:53:00,S3_S4,east,160900,STARTED WATER IN EVENING AND WATERED OVERNIGHT.
