"DeviceName","Model","Serial","Program","ProgramSig","Table","TableCRC","Order","ColumnName","Units","DataTypeCode","DataType","ModifyingCmd","FirstStartIdx","StringLength"
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Public","2716283569","13","VR_2","unitless","9","Float32","276","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Public","2716283569","14","VWC_3","m^3/m^3","9","Float32","276","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Public","2716283569","15","EC_3","dS/m","9","Float32","276","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Public","2716283569","16","T_3","Deg C","9","Float32","276","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Public","2716283569","17","P_3","unitless","9","Float32","276","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Public","2716283569","18","PA_3","nSec","9","Float32","276","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Public","2716283569","19","VR_3","unitless","9","Float32","276","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Status","1832695825","1","OSversion","","11","String","0","1","32"
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Status","1832695825","2","OSDate","","11","String","0","1","8"
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Status","1832695825","3","OSSignature","","21","UnsignedInt","0","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Status","1832695825","4","ProgName","","11","String","0","1","64"
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Status","1832695825","5","ProgSig","","21","UnsignedInt","0","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Status","1832695825","6","CalOffset","","24","Float/Cal","276","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Status","1832695825","7","PakBusAddress","","21","UnsignedInt","276","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Status","1832695825","8","RfInstalled","","21","UnsignedInt","276","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Status","1832695825","9","RfNetAddr","","21","UnsignedInt","276","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Status","1832695825","10","RfAddress","","21","UnsignedInt","276","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Status","1832695825","11","RfHopSeq","","21","UnsignedInt","276","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Status","1832695825","12","RfPwrMode","","11","String","276","1","8"
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Status","1832695825","13","Rf_ForceOn","","21","UnsignedInt","276","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Status","1832695825","14","Rf_Protocol","","21","UnsignedInt","276","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Status","1832695825","15","MaxTXPacket","","21","UnsignedInt","276","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Status","1832695825","16","RfSignalLevel","","21","UnsignedInt","276","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Status","1832695825","17","RfRxPakBusCnt","","21","UnsignedInt","276","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Status","1832695825","18","VarOutOfBounds","","21","UnsignedInt","276","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Status","1832695825","19","SkipScan","","21","UnsignedInt","276","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Status","1832695825","20","TrapCode","","21","UnsignedInt","276","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Status","1832695825","21","WatchDogCnt","","21","UnsignedInt","276","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Status","1832695825","22","ResetTables","","21","UnsignedInt","276","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Status","1832695825","23","BattVoltage","","24","Float/Cal","276","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Status","1832695825","24","SerialNum","","22","Unknown(22)","276","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Table1","1290331651","1","BattV_Min","Volts","9","Float32","276","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Table1","1290331651","2","VWC_1_Avg","m^3/m^3","9","Float32","276","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Table1","1290331651","3","EC_1_Avg","dS/m","9","Float32","276","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Table1","1290331651","4","T_1_Avg","Deg C","9","Float32","276","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Table1","1290331651","5","VWC_2_Avg","m^3/m^3","9","Float32","276","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Table1","1290331651","6","EC_2_Avg","dS/m","9","Float32","276","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Table1","1290331651","7","T_2_Avg","Deg C","9","Float32","276","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Table1","1290331651","8","VWC_3_Avg","m^3/m^3","9","Float32","276","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Table1","1290331651","9","EC_3_Avg","dS/m","9","Float32","276","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Table1","1290331651","10","T_3_Avg","Deg C","9","Float32","276","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Table2","3209444909","1","BattV_Min","Volts","9","Float32","276","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Table2","3209444909","2","VWC_1_Avg","m^3/m^3","9","Float32","276","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Table2","3209444909","3","EC_1_Avg","dS/m","9","Float32","276","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Table2","3209444909","4","T_1_Avg","Deg C","9","Float32","276","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Table2","3209444909","5","VWC_2_Avg","m^3/m^3","9","Float32","276","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Table2","3209444909","6","EC_2_Avg","dS/m","9","Float32","276","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Table2","3209444909","7","T_2_Avg","Deg C","9","Float32","276","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Table2","3209444909","8","VWC_3_Avg","m^3/m^3","9","Float32","276","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Table2","3209444909","9","EC_3_Avg","dS/m","9","Float32","276","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Table2","3209444909","10","T_3_Avg","Deg C","9","Float32","276","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Table3","3969418228","1","VWC_1_Avg","m^3/m^3","9","Float32","276","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Table3","3969418228","2","EC_1_Avg","dS/m","9","Float32","276","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Table3","3969418228","3","T_1_Avg","Deg C","9","Float32","276","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Table3","3969418228","4","VWC_2_Avg","m^3/m^3","9","Float32","276","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Table3","3969418228","5","EC_2_Avg","dS/m","9","Float32","276","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Table3","3969418228","6","T_2_Avg","Deg C","9","Float32","276","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Table3","3969418228","7","VWC_3_Avg","m^3/m^3","9","Float32","276","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Table3","3969418228","8","EC_3_Avg","dS/m","9","Float32","276","1",
"S1M","CR200X","23673","CSU_3depths.CR2","4256","Table3","3969418228","9","T_3_Avg","Deg C","9","Float32","276","1",
"S1T","CR200X","23119","CSU_3depths.CR2","4256","Public","2716283569","1","BattV","Volts","9","Float32","276","1",
"S1T","CR200X","23119","CSU_3depths.CR2","4256","Public","2716283569","2","VWC_1","m^3/m^3","9","Float32","276","1",
"S1T","CR200X","23119","CSU_3depths.CR2","4256","Public","2716283569","3","EC_1","dS/m","9","Float32","276","1",
"S1T","CR200X","23119","CSU_3depths.CR2","4256","Public","2716283569","4","T_1","Deg C","9","Float32","276","1",
"S1T","CR200X","23119","CSU_3depths.CR2","4256","Public","2716283569","5","P_1","unitless","9","Float32","276","1",
"S1T","CR200X","23119","CSU_3depths.CR2","4256","Public","2716283569","6","PA_1","nSec","9","Float32","276","1",
"S1T","CR200X","23119","CSU_3depths.CR2","4256","Public","2716283569","7","VR_1","unitless","9","Float32","276","1",
"S1T","CR200X","23119","CSU_3depths.CR2","4256","Public","2716283569","8","VWC_2","m^3/m^3","9","Float32","276","1",
"S1T","CR200X","23119","CSU_3depths.CR2","4256","Public","2716283569","9","EC_2","dS/m","9","Float32","276","1",
"S1T","CR200X","23119","CSU_3depths.CR2","4256","Public","2716283569","10","T_2","Deg C","9","Float32","276","1",
"S1T","CR200X","23119","CSU_3depths.CR2","4256","Public","2716283569","11","P_2","unitless","9","Float32","276","1",
"S1T","CR200X","23119","CSU_3depths.CR2","4256","Public","2716283569","12","PA_2","nSec","9","Float32","276","1",
"S1T","CR200X","23119","CSU_3depths.CR2","4256","Public","2716283569","13","VR_2","unitless","9","Float32","276","1",
"S1T","CR200X","23119","CSU_3depths.CR2","4256","Public","2716283569","14","VWC_3","m^3/m^3","9","Float32","276","1",
"S1T","CR200X","23119","CSU_3depths.CR2","4256","Public","2716283569","15","EC_3","dS/m","9","Float32","276","1",
"S1T","CR200X","23119","CSU_3depths.CR2","4256","Public","2716283569","16","T_3","Deg C","9","Float32","276","1",
"S1T","CR200X","23119","CSU_3depths.CR2","4256","Public","2716283569","17","P_3","unitless","9","Float32","276","1",
"S1T","CR200X","23119","CSU_3depths.CR2","4256","Public","2716283569","18","PA_3","nSec","9","Float32","276","1",
"S1T","CR200X","23119","CSU_3depths.CR2","4256","Public","2716283569","19","VR_3","unitless","9","Float32","276","1",
"S1T","CR200X","23119","CSU_3depths.CR2","4256","Status","1832695825","1","OSversion","","11","String","0","1","32"
"S1T","CR200X","23119","CSU_3depths.CR2","4256","Status","1832695825","2","OSDate","","11","String","0","1","8"
"S1T","CR200X","23119","CSU_3depths.CR2","4256","Status","1832695825","3","OSSignature","","21","UnsignedInt","0","1",
"S1T","CR200X","23119","CSU_3depths.CR2","4256","Status","1832695825","4","ProgName","","11","String","0","1","64"
"S1T","CR200X","23119","CSU_3depths.CR2","4256","Status","1832695825","5","ProgSig","","21","UnsignedInt","0","1",
"S1T","CR200X","23119","CSU_3depths.CR2","4256","Status","1832695825","6","CalOffset","","24","Float/Cal","276","1",
"S1T","CR200X","23119","CSU_3depths.CR2","4256","Status","1832695825","7","PakBusAddress","","21","UnsignedInt","276","1",
"S1T","CR200X","23119","CSU_3depths.CR2","4256","Status","1832695825","8","RfInstalled","","21","UnsignedInt","276","1",
"S1T","CR200X","23119","CSU_3depths.CR2","4256","Status","1832695825","9","RfNetAddr","","21","UnsignedInt","276","1",
"S1T","CR200X","23119","CSU_3depths.CR2","4256","Status","1832695825","10","RfAddress","","21","UnsignedInt","276","1",
"S1T","CR200X","23119","CSU_3depths.CR2","4256","Status","1832695825","11","RfHopSeq","","21","UnsignedInt","276","1",
"S1T","CR200X","23119","CSU_3depths.CR2","4256","Status","1832695825","12","RfPwrMode","","11","String","276","1","8"
"S1T","CR200X","23119","CSU_3depths.CR2","4256","Status","1832695825","13","Rf_ForceOn","","21","UnsignedInt","276","1",
"S1T","CR200X","23119","CSU_3depths.CR2","4256","Status","1832695825","14","Rf_Protocol","","21","UnsignedInt","276","1",
"S1T","CR200X","23119","CSU_3depths.CR2","4256","Status","1832695825","15","MaxTXPacket","","21","UnsignedInt","276","1",
"S1T","CR200X","23119","CSU_3depths.CR2","4256","Status","1832695825","16","RfSignalLevel","","21","UnsignedInt","276","1",
