src_file,leaf,table,frame_len,frame_hex,anchor_off,anchor_sec_le,anchor_iso,signed16_be@20,signed16_be@22,frame_number,tcp_stream
S1M_Table2.tsv,S1M,2,69,bdaffd00011ffd2003892f00000300000553000143086cc0414b9d423e0f4c423e06d46741becb723e2456b73e58de2f41bcdd19523eba0cda3fae56cb41b84dd80090d5bd,32,1741948478,2045-03-14T10:34:38+00:00,,,7,0
S1M_Table2.tsv,S1M,2,31,bda0016ffd10030ffd093000000600033f9800000542000005530000cf8abd,12,50333184,1991-08-06T13:26:24+00:00,1346,0,8,0
S1M_Table2.tsv,S1M,2,246,bdaffd00011ffd2003893000000300000542000542fd3800414e64ff3e329c9b3e841fe641bbcdff3e4b1c5c3eb4665541b4bcdd993ebecc223f91ae8841b1eaa642fde0c0414a79003e2f16d73e7b72b941b84d893e4964b03eb2171641b7a0fc3ebfef243f954b5f41b3d7a642fe8980414db5a43e29607a3e6aecfc41be30323e3eb41c3e9f3a4241b6053c3ebe7e813f95ff1141b2a92b42ff3240414b2bcb3e26455c3e5ff74141ba5fb63e3e19553e9defeb41b94c3f3ebfcbdb3f9a1aee41b4f58f42ffdb00414d8fd13e2246683e524b8b41bcdc6c463e365a0a3e904fa341b66ef93ebe70b33f9a8fe341b3881001d37abd,16,83902981,1992-08-29T02:23:01+00:00,,,10,0
S1M_Table2.tsv,S1M,2,31,bda0016ffd10030ffd093100000600033f9800000547000005530000ded0bd,12,50333184,1991-08-06T13:26:24+00:00,1351,0,11,0
S1M_Table2.tsv,S1M,2,247,bdaffd00011ffd20038931000003000005470005430083c0414c98423e20a1823e4c0a7641bada573e36518e3e9024c441b8bfd03ebfb9f93f9e296741b4d7ff43012c80414eb4133e1e15713e42837241bcdc658d3e311a8c3e869ad141b7555b3ebe53803f9ed33741b41dce4301d540414c9bb23e1c7deb3e3cf40941b8d0363e3167663e8706fa41b7f4913ebfb7df3fa23dcb41b4cd9043027e00414ead333e1b016b3e372f1841bf58253e2cccd53e7c1d8a41b76d973ebcdda3303fa1d9c341b3e103430326c0414c4c9d3e1988133e31ff0441bcddf5bf3e2d84a73e7eb52c41bb28333ebf0ba23fa606b741b644ac014796bd,32,1980386366,2052-10-03T03:19:26+00:00,,,13,0
S1M_Table2.tsv,S1M,2,31,bda0016ffd10030ffd093200000600033f980000054c0000055300009040bd,12,50333184,1991-08-06T13:26:24+00:00,1356,0,14,0
S1M_Table2.tsv,S1M,2,247,bdaffd00011ffd200389320000030000054c00054303cf80414da4733e17fec93e29cf5f41c22f7c3e295ad23e6e03fd41b9e8c73ebcdc9d833fa56dcc41b5b3c843047840414a37ac3e15d6103e223c2141bcdc4f093e2a3a243e70a14a41bbcc793ebe450b3fa98f4a41b7861143052100414c7cbf3e14d9543e1b60ea41c0b0103e267dbb3e61505541b93e103ebb51ae3fa7b0f541b5d31d4305c9c0414b62cf3e12ca453e14e03c41baf7243e2797833e64a84b41bb495e3ebcdcede83faba2eb41b7706443067280414d96b13e1242ae3e10fe1141c062693e241f303e58408a41b8a2d43eb9868a3fa90ab941b5856f013b26bd,24,1940147521,2051-06-25T09:52:01+00:00,,,16,0
S1M_Table2.tsv,S1M,2,31,bda0016ffd10030ffd093300000600033f98000005510000055300008da2bd,12,50333184,1991-08-06T13:26:24+00:00,1361,0,17,0
S1M_Table2.tsv,S1M,2,115,bdaffd00011ffd2003893300000300000551000243071b40414b73ff3e10c4bf3e0cafbcdd41bcdcd3a83e257ff33e5d38ab41bbff553ebb719e3fad3aab41b796354307c400414cbe143e1085b73e09f63141c1769f3e22a0bcdc3e540b7941b990553eb8144a3faa60da41b617ac0065cdbd,20,1075513155,2024-01-31T01:39:15+00:00,,,19,0
S1T_Table1.tsv,S1T,1,27,bda0016ffd10020ffd09b700000500022c7900000001000081f8bd,12,33555712,1991-01-24T09:01:52+00:00,,,1,0
S1T_Table1.tsv,S1T,1,68,bdaffd00011ffd200289b70000020000fedc00014305ada0415674003e4ebb613e9829ba41b31a053e3331743e8d8d0a41b900a73e57b5813e8d55fd41b89c2300946ebd,28,1639665214,2041-12-16T14:33:34+00:00,,,3,0
S1T_Table1.tsv,S1T,1,31,bda0016ffd10020ffd09b800000600022c790000fed70000fedc000036c9bd,12,33555968,1991-01-24T09:06:08+00:00,-297,0,4,0
S1T_Table1.tsv,S1T,1,244,bdaffd00011ffd200289b80000020000fed7000543059c0c415851ed3e4f64e63e9905ee41b48bf63e33de773e8e5fa041ba26c33e586ebf3e8e030141b8f01543059f904157e7583e4f7b9f3e98ab0d41b43f5a3e333bef3e8e456b41b9f26c3e5867c23e8dd05241b8d61a4305a314415775df3e4f18033e988e3641b3f30f3e3336b03e8e4b8741b9b37a3e5873ff3e8dae3d41b8d4994305a6984156f3373e4eb4643e985aaa41b3a7943e3338703e8e472941b97f8a3e5872413e8db29d41b8c1664305aa1c4156c6843e4ec41e3e98106241b362203e33482d3e8e11db41b9567f3e580ce13e8d773241b8ba3b00e99dbd,20,211551555,1996-09-14T12:19:15+00:00,,,6,0
